Problem,Số job,số máy,Upper bound,Lower bound,Number of clause,Number of variable,Makespan,Status,Runtime
mt10c1,10,11,927,655,2479277,130149,927,OPTIMAL,78.98
mt10cc,10,12,910,655,2393468,125059,908,OPTIMAL,40.17
mt10x,10,11,918,655,2421966,127449,918,OPTIMAL,58.11
mt10xx,10,12,918,655,2439963,127509,918,OPTIMAL,69.7
mt10xxx,10,13,918,655,2457940,127549,918,OPTIMAL,55.74
mt10xy,10,12,905,655,2360646,123559,905,OPTIMAL,60.04
mt10xyz,10,13,847,655,2014200,106169,847,OPTIMAL,20.84
setb4c9,15,11,914,857,3645240,187532,914,OPTIMAL,241.29
setb4cc,15,12,909,857,3632259,185297,907,OPTIMAL,191.51
setb4x,15,11,925,846,3749731,192482,925,OPTIMAL,384.81
setb4xx,15,12,925,846,3783477,192572,925,OPTIMAL,308.91
setb4xxx,15,13,925,846,3817193,192632,925,OPTIMAL,465.08
setb4xy,15,12,916,845,3697434,188447,910,OPTIMAL,180.87
setb4xyz,15,13,905,838,3622814,183512,902,OPTIMAL,85.44
seti5c12,15,16,1174,1027,5531486,288147,1169,OPTIMAL,501.38
seti5cc,15,17,1136,955,5020193,262512,1135,OPTIMAL,1020.31
seti5x,15,16,1201,955,5914014,306372,1198,OPTIMAL,558.31
seti5xx,15,17,1199,955,5921317,305112,1194,OPTIMAL,438.54
seti5xxx,15,18,1197,955,5928095,303822,1194,OPTIMAL,351.06
seti5xy,15,17,1136,955,5020193,262512,1135,OPTIMAL,1017.26
seti5xyz,15,18,1125,955,4886370,255102,1125,OPTIMAL,1846.95
