Problem,Số job,số máy,Upper bound,Lower bound,Number of clause,Number of variable,Makespan,Status,Runtime
mk01.txt,10,6,42,36,47478,4811,40,OPTIMAL,0.17
mk02.txt,10,6,32,24,88878,4088,26,OPTIMAL,1924.63
mk03.txt,15,8,211,204,2571563,72705,204,OPTIMAL,25.61
mk04.txt,15,8,81,48,183525,16201,60,OPTIMAL,9.52
mk05.txt,15,4,186,168,757396,45371,182,TIME_OUT,4800.06
mk06.txt,10,10,86,33,723976,25630,59,TIME_OUT,4800.37
mk07.txt,20,5,157,133,1309067,38810,156,TIME_OUT,4800.12
mk08.txt,20,10,528,523,4335638,274519,-1,TIME_OUT,4800.33
mk09.txt,20,10,369,299,6452697,189302,319,TIME_OUT,4801.04
mk10.txt,20,15,296,165,6392497,149661,280,TIME_OUT,4800.53
