Problem,Số job,số máy,Upper bound,Lower bound,Number of clause,Number of variable,Makespan,Status,Runtime
mk01,10,6,42,36,50671,5127,40,OPTIMAL,0.21
mk01_run1,10,6,42,36,51835,5170,40,OPTIMAL,0.21
mk01_run2,10,6,42,36,51835,5170,40,OPTIMAL,0.25
mk01_run3,10,6,42,36,51835,5170,40,OPTIMAL,0.26
mk02,10,6,32,24,96931,4363,26,OPTIMAL,2674.39
mk02_run1,10,6,32,24,101190,4402,26,OPTIMAL,1719.22
mk02_run2,10,6,32,24,101190,4402,26,OPTIMAL,1703.72
mk02_run3,10,6,32,24,101190,4402,26,OPTIMAL,1708.42
mk03,15,8,211,204,2659301,74847,204,OPTIMAL,26.64
mk03_run1,15,8,211,204,2671362,74962,204,OPTIMAL,17.76
mk03_run2,15,8,211,204,2671362,74962,204,OPTIMAL,17.42
mk03_run3,15,8,211,204,2671362,74962,204,OPTIMAL,17.38
mk04,15,8,81,48,191569,16954,60,OPTIMAL,12.93
mk04_run1,15,8,81,48,193622,17025,60,OPTIMAL,7.09
mk04_run2,15,8,81,48,193622,17025,60,OPTIMAL,6.99
mk04_run3,15,8,81,48,193622,17025,60,OPTIMAL,7.04
mk05,15,4,186,168,774382,45711,180,TIME_OUT,4801.06
mk05_run1,15,4,186,168,778314,45809,179,TIME_OUT,4800.17
mk05_run2,15,4,186,168,778314,45809,179,TIME_OUT,4800.19
mk06,10,10,86,33,764330,27420,59,TIME_OUT,4800.21
mk07,20,5,157,133,1350015,39768,153,TIME_OUT,4800.3
mk08,20,10,528,523,4441022,277066,527,TIME_OUT,4800.51
mk09,20,10,369,299,6576141,192229,310,TIME_OUT,4800.6
mk10,20,15,296,165,6528361,153953,257,TIME_OUT,4800.69
