Problem,Số job,số máy,Upper bound,Lower bound,Number of clause,Number of variable,Makespan,Status,Runtime
mk01,10,6,42,36,47478,4811,40,OPTIMAL,0.21
mk01_run1,10,6,42,36,50159,4938,40,OPTIMAL,0.25
mk01_run2,10,6,42,36,50159,4938,40,OPTIMAL,0.29
mk01_run3,10,6,42,36,50159,4938,40,OPTIMAL,0.25
mk02,10,6,32,24,88877,4088,26,OPTIMAL,1553.66
mk02_run1,10,6,32,24,100037,4265,26,OPTIMAL,1563.89
mk02_run2,10,6,32,24,100037,4265,26,OPTIMAL,1582.19
mk02_run3,10,6,32,24,100037,4265,26,OPTIMAL,1590.9
mk03,15,8,211,204,2571563,72705,204,OPTIMAL,18.3
mk03_run1,15,8,211,204,2647083,73946,204,OPTIMAL,17.34
mk03_run2,15,8,211,204,2647083,73946,204,OPTIMAL,17.08
mk03_run3,15,8,211,204,2647083,73946,204,OPTIMAL,17.03
mk04,15,8,81,48,183525,16201,60,OPTIMAL,5.81
mk04_run1,15,8,81,48,187899,16441,60,OPTIMAL,6.92
mk04_run2,15,8,81,48,187899,16441,60,OPTIMAL,6.81
mk04_run3,15,8,81,48,187899,16441,60,OPTIMAL,6.85
mk05,15,4,186,168,757396,45371,182,TIME_OUT,4800.1
mk05_run1,15,4,186,168,763215,45559,181,TIME_OUT,4800.13
mk05_run2,15,4,186,168,763215,45559,181,TIME_OUT,4800.32
mk05_run3,15,4,186,168,763215,45559,181,TIME_OUT,4800.16
mk06,10,10,86,33,724007,25630,58,TIME_OUT,4800.13
mk06_run1,10,10,86,33,767776,26457,58,TIME_OUT,4800.5
mk06_run2,10,10,86,33,767776,26457,58,TIME_OUT,4800.67
mk07,20,5,157,133,1309067,38810,156,TIME_OUT,4800.2
mk08,20,10,528,523,4335638,274519,-1,TIME_OUT,4800.44
mk09,20,10,369,299,6453015,189302,313,TIME_OUT,4800.54
mk10,20,15,296,165,6393055,149661,271,TIME_OUT,4800.67
