Problem,Số job,số máy,Upper bound,Lower bound,Number of clause,Number of variable,Makespan,Status,Runtime
mk01_run1,10,6,42,36,43736,4811,40,OPTIMAL,0.16
mk01_run2,10,6,42,36,43736,4811,40,OPTIMAL,0.19
mk01_run3,10,6,42,36,43736,4811,40,OPTIMAL,0.18
mk02_run1,10,6,32,24,83006,4088,26,OPTIMAL,1661.23
mk02_run2,10,6,32,24,83006,4088,26,OPTIMAL,1678.79
mk02_run3,10,6,32,24,83006,4088,26,OPTIMAL,1685.45
mk03_run1,15,8,211,204,2360506,72705,204,OPTIMAL,18.33
mk03_run2,15,8,211,204,2360506,72705,204,OPTIMAL,18.39
mk03_run3,15,8,211,204,2360506,72705,204,OPTIMAL,18.35
mk04_run1,15,8,81,48,165999,16201,60,OPTIMAL,6.15
mk04_run2,15,8,81,48,165999,16201,60,OPTIMAL,6.05
mk04_run3,15,8,81,48,165999,16201,60,OPTIMAL,6.02
mk05_run1,15,4,186,168,694790,45371,182,TIME_OUT,4800.23
mk05_run2,15,4,186,168,694790,45371,182,TIME_OUT,4800.15
mk05_run3,15,4,186,168,694790,45371,182,TIME_OUT,4800.17
mk06_run1,10,10,86,33,690518,25630,57,OPTIMAL,4703.28
mk06_run2,10,10,86,33,690518,25630,57,TIME_OUT,4800.1
mk06_run3,10,10,86,33,690518,25630,57,TIME_OUT,4801.18
mk07,20,5,157,133,1199022,38810,156,TIME_OUT,4800.13
mk08,20,10,528,523,4027002,274519,528,TIME_OUT,4801.04
mk10,20,15,296,165,5698387,149661,270,TIME_OUT,4800.91
