Problem,Số job,số máy,Upper bound,Lower bound,Number of clause,Number of variable,Makespan,Status,Runtime
mk01_run1,10,6,42,36,38678,5701,40,OPTIMAL,0.19
mk01_run2,10,6,42,36,38678,5701,40,OPTIMAL,0.21
mk01_run3,10,6,42,36,38678,5701,40,OPTIMAL,0.18
mk02_run1,10,6,32,24,44237,5482,26,OPTIMAL,1821.98
mk02_run2,10,6,32,24,44237,5482,26,OPTIMAL,1793.5
mk02_run3,10,6,32,24,44237,5482,26,OPTIMAL,1789.29
mk03_run1,15,8,211,204,1736057,80265,204,OPTIMAL,13.77
mk03_run2,15,8,211,204,1736057,80265,204,OPTIMAL,13.69
mk03_run3,15,8,211,204,1736057,80265,204,OPTIMAL,13.73
mk04_run1,15,8,81,48,151167,17922,60,OPTIMAL,7.6
mk04_run2,15,8,81,48,151167,17922,60,OPTIMAL,7.52
mk04_run3,15,8,81,48,151167,17922,60,OPTIMAL,7.55
mk05_run1,15,4,186,168,628085,48733,183,TIME_OUT,4800.1
mk05_run2,15,4,186,168,628085,48733,183,TIME_OUT,4800.1
mk05_run3,15,4,186,168,628085,48733,183,TIME_OUT,4800.09
mk06_run1,10,10,86,33,506021,33505,58,TIME_OUT,4801.5
mk06_run2,10,10,86,33,506021,33505,58,TIME_OUT,4801.44
