Problem,Số job,số máy,Upper bound,Lower bound,Number of clause,Number of variable,Makespan,Status,Runtime
mfjs01,5,6,468,403,320818,8767,468,OPTIMAL,0.72
mfjs02,5,7,446,396,289460,8000,446,OPTIMAL,0.71
mfjs03,6,7,466,396,388664,10381,466,OPTIMAL,0.96
mfjs04,7,7,554,496,726873,16170,554,OPTIMAL,1.98
mfjs05,7,7,514,414,613071,14686,514,OPTIMAL,1.57
mfjs06,8,7,635,614,1157906,23216,634,OPTIMAL,3.66
mfjs07,8,7,879,764,2316884,41116,879,OPTIMAL,8.13
mfjs08,9,8,884,764,2568914,46566,884,OPTIMAL,17.81
mfjs09,11,8,1088,807,4831219,80775,1055,OPTIMAL,1496.93
mfjs10,12,8,1267,944,6968932,109440,1205,TIME_OUT,4801.25
sfjs01,2,2,66,66,1532,313,66,OPTIMAL,0.23
sfjs02,2,2,107,107,4032,460,107,OPTIMAL,0.01
sfjs03,3,2,221,212,40298,1920,221,OPTIMAL,0.1
sfjs04,3,2,355,331,93722,3142,355,OPTIMAL,0.21
sfjs05,3,2,119,107,15332,1163,119,OPTIMAL,0.04
sfjs06,3,3,320,310,65917,3468,320,OPTIMAL,0.16
sfjs07,3,5,397,397,100277,3795,397,OPTIMAL,0.22
sfjs08,3,4,253,216,47161,2452,253,OPTIMAL,0.11
sfjs09,3,3,210,210,32403,2219,210,OPTIMAL,0.08
sfjs10,4,5,516,427,237799,6563,516,OPTIMAL,0.53
